title,author,first_publish_year,edition_count,subject,subject_people,subject_places,subject_times,language,series,number_of_pages_median,publisher,publish_place,ratings_count,ratings_average
The Da Vinci Code,Dan Brown,2003.0,197,"Suspense & Thriller, Spiritual Fiction, hieros gamos, Priory of Sion, Holy Grail, Vitruvian Man, Fibonacci sequence, safe deposit boxes, mystery & suspense, Templars, Manuscripts, Last Supper in art, Symbolism in architecture, suspense fiction, adventure fiction, Catholics, puzzles, International thriller, Code and cipher stories, Mystery fiction, crimes against art museum curators, art appreciation, thrillers, suspense, Historical Mystery & Detective Fiction, Religious fiction, Mystery, Aventures, Religious articles, Crimes against, Romans, Appreciation, Occultisme, Art museum curators, Sociedades secretas, Grial, Ficción, Robert Langdon (Fictitious character), Novela, Powiesc amerykanska, T¿umaczenia polskie, Polish language materials, Secret societies, Cryptographers, Fiction, Grail, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Detective and mystery stories, Cryptography, Fictional Works, American fiction, Leonardo, da vinci, 1452-1519, fiction, Paris (france), fiction, Fiction, mystery & detective, general, Langdon, robert (fictitious character), fiction, Fiction, thrillers, Fiction, thrillers, general, Large type books, Fiction, suspense, Museumsdirektor, Bruderschaft, Mord, Manuscritos, Criptografía, Belletristische Darstellung, Maria Magdalena, New York Times reviewed, Religious, General, England, fiction, Fiction, thrillers, suspense, Chang pian xiao shuo, collectionid:dbrl","Leonardo da Vinci (1452-1519), Robert Langdon, Sophie Neveu, Isaac Newton, Botticelli, Victor Hugo, Opus Dei, Mary Magdalene, Jacques Saunière, Bezu Fache, Silas, Manuel Aringarosa, Sister Sandrine, André Vernet, Leigh Teabing, Rémy Legaludec, Jérôme Collet, Marie Chauvel Saint-Clair, Pamela Gettum, Jesus Christus, Maria Magdalena Heilige, Biblische Person, Maria Magdalena","Paris (France), London (UK), Paris, Musée du Louvre, London, France, Harvard University, Depository Bank of Zurich, Vatican, Opus Dei Center, Rosslyn Chapel, La Pyramide Inversée, Westminster Abbey, Britain",2000s,"vie, ara, swe, pol, ita, eng, por, heb, dut, chi, fre, per, lit, tur, ger, kor, ind, rus, gre, mal, cat, spa, jpn","Robert Langdon, #2",494.0,Doubleday,New York,171,3.9005847953216373
Rebecca,Daphne du Maurier,1938.0,183,"Married women, Cornwall (England : County), Remarriage, Remarried people, Fiction, Drama, Suspense fiction, Open Library Staff Picks, English fiction, Wives, England Gothic fiction, Love stories, Smugglers, Gothic fiction, England, Reading Level-Grade 9, Reading Level-Grade 10, Reading Level-Grade 11, Reading Level-Grade 12, Fiction, gothic, British and irish fiction (fictional works by one author), Cornwall (england : county), fiction, Fiction, romance, suspense, Married people, fiction, English literature, Fiction, classics, Social life and customs, Folklore, Fiction in english, self esteem, love, man and woman love, psycology, Cornwall (County), Man-woman relationships, fiction, Country homes, collection:Name","Laurence Olivier Olivier Baron (1907-1989), Alfred Hitchcock (1899-1980)","Cornwall (County), Cornwall (England : County), England, Great Britain, Corwall (COunty)",20th century,"eng, spa, ita, pol, vie, heb, rus, chi, fre, gre, ger",Xian dai Yingguo ming zhu,398.0,Doubleday,New York,44,4.181818181818182
The Silmarillion,J.R.R. Tolkien,1977.0,149,"Fantasy fiction, Short stories, Middle Earth (Imaginary place), Elves, Fiction, British and irish fiction (fictional works by one author), Fiction, fantasy, epic, Middle earth (imaginary place), fiction, English Fantasy fiction, English literature, Engelse fiksie, fantasy, Bilbo Baggins (Fictitious character), silmaril, Fiction, fairy tales, folk tales, legends & mythology, Fiction, fantasy, dragons & mythical creatures, Fiction, fantasy, action & adventure, English fiction","Maglor, Maedhros, Fëanor, Eru, Morgoth, Fingolfin, Lúthien, Eärendil, Túrin","Middle Earth, Valinor, Númenor, Fictional pre-historical world, Middle Earth (Imaginary place)","The First Age, Fictional pre-history, First Age","pol, dut, spa, ita, bul, chi, por, rus, eng, ger, fre",Colección Biblioteca Tolkien,427.0,Houghton Mifflin Company,Boston,112,3.9642857142857144
Carrie,Stephen King,1974.0,116,"occult & supernatural fiction, horror fiction, psychological thrillers, Fiction, Horror, American Horror tales, thriller, Epistolary novel, telekinesis, Menarche, proms, menstruation, telepathy, banned book, Estudiantes de escuelas secundarias, Psicocinética, Psychokinesis, Teenage girls, Social isolation, High school students, Madres e hijas, Mothers and daughters, Ficción, Aislamiento social, Child abuse, Bullying, Supernatural, Horror stories, Fiction, horror, Belonging, FICTION / Horror, FICTION / Occult & Supernatural, FICTION / Thrillers / Psychological, Elèves du secondaire, Romans, Horreur, Psychokinésie, Violence envers les enfants, Good and evil, Revenge, Bullies, English fiction, Translations into Spanish, Escuelas secundarias, Novela, Estudiantes, Abuso de niños, Novela inglés, Traducciones en español, Cuentos populares de terror, Spanish language materials, Estudiantes de escuela secundaria, Psicokinesis, Novela inglesa, Traducciones al español, American literature, Arabic language, White, carrie (fictitious character), fiction, Chamberlain (me. : imaginary place), fiction, Maine, fiction, Large type books, Science Fiction - General, King, Stephen - Prose & Criticism, Fiction - Horror, Classics, Horror - General, Horror & ghost stories, collection:Name","Brucie, Cindi, David, Fern, Galatea, Gramma, Josie and the Moonglows, Peter, The Billy Bosnan Band, Black Man, Junkman, Harold Allison, Judith Brigham Allison, J.W. Bankson, Don Barrett, Mrs. Bicente, Uncle Billy, Henry Blake, Tina Blake, P.P.J. Bliss, Harry Block, David Bracken, Doug Brann, John Brigham, Lennie Brock, Chief Burton, Eddie Cantor, Mr. Chairman, William A. Chamberlain, George Chizmar, Sadie Cochran, Maureen Cowan, Mel Crager, Morton Cratzchberken, Myra Crewes, George Dawson, Mrs. Dawson, Steve Deighan, Billy DeLois, Rita L. Desjardin, Sam Deveaux, Mr. Downer, Otis Doyle, Henry Drain, Marcel Dubay, Teddy Duchamp, Tommy Erbter, Ray Evarts, Mr. Evers, Don Farnham, Roger Fearon, George Fielding, Miss Fish, Coach Gaines, Uncle Galen, Mrs. Garrison, Kenny Garson, Lou Garson, Jeane Gault, Brent Gillian, Julia Givens, Ruth Gogan, Henry Grade, Frank Grier, Vicky Hanscom, Chris Hargensen, John Hargensen, Billy Harris, Irwin Henty, Mrs. Henty, Freddy Holt, Estelle Horan, Mrs. Horan, Frieda Jason, Amelia Jenks, Annie Jenks, Pete Jenks, Sandra Jenks, George Jerome, Vicky Jones, Donna Kellogg, Hubert Kelly, Edwin King, Mr. Kirk, Virginia Kirk, Mrs. Klein, Andrea Kolintz, George Kramer, Mr. Lavoie, Mr. Lublin, Mrs. Lublin, Gerald Luponet, Miss Macaferty, Jessica MacLean, Holly Marshall, Georgia McLaughlin, Sally Mc Manus, Thomas B. Mears, Thomas G. Mearton, Vic Mooney, Peter Morton, Elton Mott, Billy Nolan, Dale Norbert, Dick O'Connell, Freddy Overlook, Danny Patrick, Peter Philpott, Bobby Pickett, Plessy, Billy Preston, Thomas K. Quillan, Mr. Ross, Tommy Ross, Saunders, Georgette Shyres, Helen Shyres, Cora Simard, Mr. Simard, Rhonda Simard, Jerry Smith, Mrs. Smith, Terry Smith, Mr. Snell, Mrs. Snell, Sue Snell, Mortimer Snerd, Rachel Spies, Henry Stampel, Sandra Stenchfield, Mr. Stephens, John Swithen, Irma Swope, Peter Taber, Jackie Talbot, Donna Thibodeau, Mary Lila Grace Thibodeau, William C. Throneberry, Red Trelawny, Henry Trennant, Bruce Trevor, Dale Ullman, Jessica Upshaw, Josie Vreck, Mrs. Warwick, Norma Watson, Carietta White, Margaret White, Mrs. Yorraty","Chamberlain, Maine, Appalachia",,"fre, ger, spa, chi, por, ita, rus, eng",J'ai lu -- 835,256.0,Doubleday,"Garden City, N.Y",157,3.9808917197452227
Goodnight Moon,Margaret Wise Brown,1947.0,143,"Children's fiction, Picture books, Bedtime, fiction, Rabbits, fiction, Literature and fiction, juvenile, Rabbits, Stories in rhyme, Juvenile fiction, Moon in fiction, Board books, Hora de acostarse, Fiction, Bedtime in fiction, Rabbits in fiction, Ficción juvenil, Sleep, Bedtime, Night, Libros de láminas, Picture books for children, Spanish language materials, Specimens, Bilingual, Hmong language materials, Conejos, Bedtime & Dreams, Words, Concepts, Classics, Moon, fiction, Night, fiction, Counting books, Children's literature, history and criticism, Authorship, juvenile literature, Authorship, Large type books, Toy and movable books, Short stories, Boys, Comic books, strips, Teacher-student relationships, Dreams, fiction, Novela juvenil, Libros para contar, Animals, Materiales en español, Bilingües, Sleep, fiction, Non-Classifiable, Spanish: Adult Nonfiction, Audio: Juvenile",,Moon,,"eng, ger, chi, ita, spa, tur, fre, vie, jpn, heb",Tian lüe shi jie jing xuan hui ben,32.0,Harper,[New York],66,4.106060606060606
Black Beauty,Anna Sewell,1877.0,107,"Black Beauty, Anna Sewell, Original publication 1877, 19th Century, Children, Children's, Kids, Juvenile, Classic, Fiction, Books, Stories, Drama, Biography, History, Legends, Animals, Classic Literature, Juvenile Literature, Animals - Horses, Horses, Animal rights, Humane treatment, Kindness, Gentleness, Goodness & cruelty, Morals, Morality, Children's fiction, Horses, fiction, England, fiction, Animals, treatment, fiction, Juvenile fiction, Folklore, Specimens, Toy and movable books, Juvenile sound recordings, Black Beauty (Fictitious character), High interest-low vocabulary books, Easy reading materials, Child and youth fiction, Fiction, historical, Great britain, fiction, Readers, Fairy tales, Adventure and adventurers, fiction, Fiction, romance, general, Adaptations, Comic books, strips, Graphic novels, Animal welfare, Social conditions, Treatment, Literature and fiction, juvenile, Chevaux, Romans, nouvelles, etc. pour la jeunesse, New england, fiction, Legends and stories",,"Great Britain, Horses",1877,"ger, fre, wel, eng",Nineteenth Century Collections Online: Children's Literature and Childhood,229.0,Jarrold and Sons,London,23,4.304347826086956
Where the Wild Things Are,Maurice Sendak,1600.0,125,"Caldecott Medal, Dreams, Fantasy, Fantasy fiction, Fiction, Imagination, Juvenile fiction, Miniature books, Monsters, Specimens, Fantasty, Monstruos, Fantasía, Spanish language materials, Novela, open_syllabus_project, Kings and rulers, Conduct of life, Fairy tales, Children, Animals, Temper tantrums, Ficción juvenil, Accelerated Reader 2.9., Caldecott Medal books, Children's fiction, Monsters, fiction, Picture books, Novela juvenil, Action & Adventure, Classics, People & Places, Hispanic & Latino, Spanish language, Reading materials, French Juvenile fiction, Juvenile fiction, French, Children's stories, German language materials, collectionID:caldecott60, Behavior, Latin language materials, Dreams, fiction, Monstres, Ouvrages illustrés, Littérature de jeunesse anglaise, award:Caldecott_award, lexile:740, lexile_range:701-800, lexile_code:AD, age:min:1, age:max:5, Adventure and adventurers, fiction, Islands, fiction, Animals, fiction, Behavior, fiction",Maurice Sendak,,childhood,"afr, wel, baq, kor, jpn, eng, fre, ita, heb, rus, ger, chi, nor, spa, dut",Collection Dix sur dix,42.0,HarperCollins,,101,4.158415841584159
The Last Battle,C.S. Lewis,1956.0,106,"Juvenile Fiction, Science Fiction & Fantasy, Fiction, Fantasy, Children's fiction, Narnia (imaginary place), fiction, Fantasy fiction, Juvenile, Narnia (Imaginary place), Magic, Child and youth fiction, Good and evil, English Fantasy fiction, English literature, 20th century, Adventure and adventurers, fiction, Fiction, fantasy, general, Voyages and travels, Narnia (Lugar imaginario), Ficción juvenil, Bien y mal, Viajes, Novela fantástica, Good and evil, fiction, Lions",,,,"swe, eng, spa, ita, vie, ger, chi, pol, jpn",Chronicles of Narnia (7),192.0,Macmillan,London,70,3.8857142857142857
The Lightning Thief,Rick Riordan,2005.0,101,"Serie:Percy_Jackson_and_the_Olympians, Fiction, Greek Mythology, Juvenile fiction, Camps, Friendship, Fantasy fiction, Fantasy, Young Adult Fiction, New York Times bestseller, nyt:series_books=2007-07-21, Mythology, Greek, Identity, Adaptations, Greek Gods, Cartoons and comics, Children's fiction, Camps, fiction, Gods, fiction, Action & Adventure, Fantasy & Magic, Legends, Myths, Fables, Gods and goddesses, Literature and fiction, juvenile, Child and youth fiction, Science fiction, fantasy, horror, New York Times reviewed, Colonies de vacances, Amitié, Amistad, Ficción juvenil, Campamentos, Mitología griega, Children's books, Dieux grecs, Novela juvenil, Adventure and adventurers, fiction","Percy Jackson, Poseidon (Greek deity), Zeus (Greek deity), Hades (Greek deity)","Manhattan, Long Island, New York, Las Vegas, Los Angeles","Modern Times, 21st-Century","ger, eng, por, vie, spa, heb, dut, chi, rum, pol, fre",Percy Jackson and the Olympians #1,383.0,Listening Library (Audio),New York,372,4.268817204301075
Little House in the Big Woods,"Laura Ingalls Wilder, Garth Williams",1932.0,113,"Juvenile fiction, Ficción juvenil, Frontier and pioneer life, Fiction, Vida de pioneros, Juvenile literature, Children's fiction, Wisconsin, fiction, Frontier and pioneer life, fiction, Family life, fiction, Family life, little girl, Families, Family, Fmily life, Children's stories, Wisconsin, Farm life, Domestic fiction, Childhood and youth, Geography, Irlande, Géographie, Landeskunde, Large type books, Houses, fiction, Forests and forestry, fiction, 1932 Life, Frontier, Pioneer, Country, Late 1800s, Juvenile, Fiction / Biography, Based on true life, Storms, Cold, Fireplace, Sparse Furniture, Homemade wooden, Floors, Long Dresses, Aprons, United states, fiction",Laura Ingalls Wilder (1867-1957),"Wisconsin, Big Woods of Wisconsin, Lake Pepin, Great Plains, New York (State), West (U.S.), USSA, United States","1870s, 1860's +","dan, hin, pol, jpn, eng, kor, fre, heb, rus, ger, chi, spa, und",Little house,228.0,Cadmus Books: E.M. Hale & Company,"Claire, USA",53,3.9622641509433962
Breakfast at Tiffany's,Truman Capote,1956.0,113,"American Short stories, Manners and customs, Fiction, Social life and customs, Translations into Russian, American fiction, Gay men, Interpersonal relations, Gay authors, Young women, Relations with women, American fiction (fictional works by one author), Roman américain, New York Times reviewed, Tiffany and Company, Fiction, general, Conduct of life, Boys, Death, Stepmothers, Mothers, Friendship, Fiction, coming of age, Fiction, biographical, New york (n.y.), fiction, Friendship, fiction, Southern states, fiction, Junge Frau, Nonkonformismus, English language, Romance norte americano","Truman Capote (1924-1984), Holly Golightly (fictional character)","United States, New York (State), New York (N.Y.), New York, New York <NY>",20th century,"rus, eng, ger, chi, ita, spa, fre, cze, por, vie, jpn, ukr, heb",Compactos Anagrama No. 13,160.0,Random House,,15,3.933333333333333
Life of Pi,Yann Martel,2000.0,114,"Teenage boys, Zoo animals, Fiction, Literature, Tigers, Translations into Korean, Tiger, award:man_booker_prize=2002, Man Booker Prize Winner, Open Library Staff Picks, Orphans, Survival after airplane accidents, shipwrecks, Storytelling, Ocean travel, Ithaca College First-Year Reading Initiative, Shipwreck survival, English fiction, Human-animal relationships, Integracji i Globalizacji Centrum Badawcze Transformacji, Fictional Works Publication Type, Religion, Relations homme-animal, Adventure fiction, Schiffbruch, Romans, nouvelles, etc. pour la jeunesse, Human-animal relationship, Überleben, Survie après accidents d'avion, naufrages, Männliche Jugend, Teenagers, Animal Population Groups, Zähmung, Faszination, Romans, nouvelles, Indischer Jugendlicher, Survival at sea, Fiction, action & adventure, Fiction, psychological, Large type books, Shipwreck victims, nyt:trade-fiction-paperback=2012-10-21, New York Times bestseller, Romans, Aventures, Naufragés, Tigres, Pacifique, Océan, Novela psicológica, Muchachos adolescentes, Narración de cuentos, Relatos de aventura, Viajes por mar, Relaciones hombre-animal, Supervivencia (después de accidentes aéreos, naufragios, etc.), Animales zoológicos, Ficción, Huérfanos, Survival, Readers, Action & Adventure, LITERARY CRITICISM, American, General, Life of Pi (Martel, Yann), Psychological fiction, Adventure stories, Fiction, sea stories, India, fiction, Togers, Fictional Works [Publication Type]",pi,"Pacific Ocean, India, Océano Pacífico, Toronto (Ont.)",Pacific Ocean,"heb, fre, ger, pol, kor, spa, dan, vie, chi, nor, hin, rus, eng, tur",Wai guo wen xue zui xin jia zuo cong shu,347.0,Canongate Books Ltd,,145,3.9655172413793105
Death in the Clouds,Agatha Christie,1935.0,104,"Detective and mystery stories, Fiction, Hercule Poirot (Fictitious character), Juvenile fiction, Private investigators, Murder, English Detective and mystery stories, Mystery, Zhen tan xiao shuo, Murder in fiction, Private investigators in fiction, Poirot,Hercule(Fictitious character), Large type books, Novela policíaca, Investigadores privados, Novela, English literature, Fiction, mystery & detective, general, Poirot, Hercule (Fictitious character) -- Fiction, Poirot, hercule (fictitious character), fiction, Private investigators, fiction, England, fiction, Fiction, mystery & detective, traditional, Livres en gros caractères, Large print books","Inspector Japp, Hercule Poirot, Hercule Poirot (Fictitious character)","France, England, Croydon, ying guo, Belgium, Inglaterra",xian dai,"eng, ger, chi, ind, ita, spa, fre, jpn",Agatha Christie -- 10.,245.0,Popular Library,New York,15,4.266666666666667
Martin Eden,Jack London,1908.0,107,"Fiction, Literature, Authors, Classic Literature, Working class, Young men, American fiction (fictional works by one author), American literature, Literatură americană, Roman, Fiction, general, Authors, fiction, Fiction, biographical, Working class--fiction, Authors--fiction, Ps3523.o46 m3 1993, Oakland (calif.), fiction","Martin Eden, Ruth Morse, Lizzie Connolly, Joe Dawson, Russ Brissenden","San Francisco, California, San Francisco (Calif.)",,"fre, rus, spa, ger, chi, fin, dan, vie, ita, alb, eng, swe",Классики и современники,411.0,"McKinlay, Stone & Mackenzie",New York,41,3.8048780487804876
Murder in Three Acts,Agatha Christie,1934.0,101,"Fiction, Hercule Poirot (Fictitious character), Murder in fiction, Murder, Private investigators, Private investigators in fiction, Detective and mystery stories, Mystery and detective stories, Investigation, Mystery, Fiction, mystery & detective, general, Poirot, hercule (fictitious character), fiction, Private investigators, fiction, Large type books, English Detective and mystery stories, English literature, Actors, Detective and mystery fiction, Literatura inglesa, Romance policial, Zhen tan xiao shuo, Chang pian xiao shuo, Fiction, mystery & detective, traditional, England, fiction, Roman policier anglais",,"England, Ying guo",Xian dai .,"eng, ara, ger, chi, spa, fre, jpn, pol",The Crime Club,237.0,Popular Library,New York,10,3.7
The Hollow,Agatha Christie,1946.0,103,"Fiction, Hercule Poirot (Fictitious character), Private investigators, Murder, Mystery, Private investigators in fiction, murder mystery, Large type books, Socialites, Investigation, Fiction, mystery & detective, traditional, Poirot, hercule (fictitious character), fiction, England, fiction, English literature, Fiction, mystery & detective, general, Private investigators, fiction, Spanish fiction, Roman espagnol","Hercule Poirot (fictional Private Investigator), Hercule Poirot (Fictitious character)","England, London, London (England)",,"heb, fre, ger, eng, spa",Hercule Poirot (25),252.0,Collins,New York,8,4.0
Alice's Adventures in Wonderland,Lewis Carroll,1865.0,3546,"Alice (fictitious character : carroll), fiction, British and irish fiction (fictional works by one author), Fiction, fantasy, general, JUVENILE FICTION, classics, Fantasy & Magic, Imagination & Play, adventure and adventurers, adventure and adventurers, fiction, adventure stories, adventure travel, animals, anthropomorphism, artists' illustrated books, books and reading, child and youth fiction, children, children's fiction, children's literature, children's literature, english, children's stories, children's stories, english, classic literature, coloring books, croquet, cuentos infantiles ingleses, curiosidad, curiosidad en los niños, curiosity, curiosity in children, english, english adventure stories, english fantastic fiction, english fantasy fiction, english fantasy literature, english language, english literature, english nonsense verses, fairy tales, fantasy, fantasy fiction, fantasy in fiction, fantasy  magic, fantasía, ficción juvenil, fiction, friendship, girls, girls, fiction, hookahs, humor, humorous stories, illustrations, imaginary places, juvenile literature, legends, literary nonsense, logic, lugares imaginarios, mythical animals, niñas, nonsense verses, novela, novela fantástica, novela juvenil, open library staff picks, picture books, playing cards, rabbits, readers, reading materials, short novel, tea, texts, Alice (Fictitious character : Carroll), English language, textbooks for foreign speakers, Fantastique, Enfants, Affirmation de soi, Spanish language materials, Alicia (Personaje literario : Carroll), Spanish language, nyt:chapter-books=2010-02-21, New York Times bestseller, Literatura infanto-juvenil, Literatura inglesa, Carroll, lewis, 1832-1898, Children's literature, history and criticism, Children, books and reading, Crocheting, Fiction, general, Fantasy fiction, history and criticism, Toy and movable books, Imagination, Textbooks for foreign speakers, Readers for new literates, High interest-low vocabulary books, Science fiction, CUENTO INFANTIL INGLES, History and criticism, Translations into Irish, Irish literature, Swahili language, Ficc ʹa o (ge nero), Shi jie wen xue, Xiao shuo, Fantasi a, Tong hua, Suo xie, Shao er du wu, Pin yin du wu, Children's stories, Chinese, Chinese language, Translations into Polish, Ying yu, Yu yan du wu, Decision making, Juvenile Wit and humor, Conduct of life, Illusion (Philosophy), Innocence (Psychology), Dreams, Courts and courtiers, Theft, Courts, Curiosité, Romans, nouvelles, etc. pour la jeunesse, Prise de décision, Humour pour la jeunesse, Morale pratique, Lieux imaginaires, Illusion (Philosophie), Rêves, Cartes à jouer, Cours et courtisans, Croquet (Jeu), Vol (Droit), Tribunaux, Histoires pour enfants anglaises, Literature, collections, Fiction, short stories (single author), Contes de fées, English fiction, Translations into Ladino, Nonsense literature, Fantasmes, Dinosaurier, Utdöda djur, Urtidsdjur, Forntiden, Geologi, Evolution, Jorden, Fantastiske fortællinger, Translations into Yiddish, Criticism and interpretation, History, Alice's adventures in Wonderland (Carroll, Lewis), Alice in Wonderland;, North, Rural-urban migration, Russian language, Shorthand, Gregg, Roman anglais, Erwachsenwerden, Kultur, Logik, Mädchen, Philosophie, Reise, Sprache, Traumland, Paston grammmar school, Walsham, Eng","Alice, Bill, Caterpillar, Dodo, Dormouse, Duchess, Fish-Footman, Frog-Footman, Gryphon, Hatter, King of Hearts, Knave of Hearts, March Hare, Mary Ann, Mock Turtle, Mouse, Queen of Hearts, Tweedledee, Tweedledum, White Rabbit, Alice (Fictitious character from Carroll), Lewis Carroll (1832-1898), Alice (Fictitious character : Carroll)","Wonderland, Ying guo, INGLATERRA",Jin dai,"swe, eng, lat, ger, chi, dut, lad, srp, cor, jpn, slo, ukr, hrv, cat, wel, ita, alt, kaz, hun, gre, fre, gle, fin, guj, lav, ara, tel, kor, tur, bul, crp, yid, fry, ceb, haw, heb, dan, rus, und, swa, orm, spa, bre, epo, sco, cze, por, kir, syr, pol, bel",Stories old and new,147.0,,,203,4.024630541871921
Tess of the d'Urbervilles,Thomas Hardy,1707.0,747,"Fiction, Man-woman relationships, fiction, Poor families, fiction, Women murderers, fiction, Children of the rich, fiction"", Triangles (Interpersonal relations), fiction, Children of clergy, fiction, Women domestics, fiction, Women household employees, fiction, England, fiction, Social life and customs, fiction, Young women, fiction, Social classes, fiction, Facsimiles, English Manuscripts, Manuscripts, Criticism and interpretation, Classic Literature, Literature, English  Fiction, Wessex (England) -- Fiction, Estudios y conferencias, Novela inglesa, Critica e interpretacion, Tess of the d'Urbervilles (Hardy, Thomas), British and irish fiction (fictional works by one author), Wessex (england), fiction, Hardy, thomas, 1840-1928, Pastoral fiction, Didactic fiction, Manners and customs"", Triangle (Relations humaines), Romans, nouvelles, Relations entre hommes et femmes, Enfants de riches, Enfants d'ecclésiastiques, Employées de maison, Meurtrières, Familles pauvres, General, Rural conditions, Women, fiction, Wessex (England), Jeunes femmes, Mœurs et coutumes, Chinese language materials, Country life, Chang pian xiao shuo, Social conditions, Rape victims -- Fiction, Ying yu, Dui zhao du wu, Han yu, Graphic, Fortnightly review, National observer, Familie, Oberschicht, Konvention, English literature, Interpersonal relations, fiction, Family life, fiction, Criminals, fiction, Large type books, Manuscripts, facsimiles, Fiction, christian, general, Translations into Japanese, Literary collections, Triangles (Interpersonal relations), Man-woman relationships, Children of clergy, Women household employees, Women murderers, Poor families, Long Now Manual for Civilization, Social life and customs, Young women, Manners and customs, English fiction, Love triangles, Sexual relationships, Civil procedure, Social classes","Thomas Hardy (1840-1928), Thomas Hardy (1840-1898)","Wessex (England), England, Wessex, Angleterre, ying guo","19th century, 19e siècle, jin dai","swe, rus, eng, ger, chi, und, spa, fre, cze, jpn, pol",Collins classics,507.0,Signet Classics,,15,4.0
Slaughterhouse-Five,Kurt Vonnegut,1968.0,131,"American science fiction, bombing of Dresden, Open Library staff picks, military fiction, war stories, World War II, World War, 1939-1945, literature and the war, war, free will and determinism, literary fiction, Fiction, Animals, Boats and boating, Juvenile fiction, Accelerated Reader, Domestic animals, American fiction (fictional works by one author), Fiction, general, Fiction, war & military, World war, 1939-1945, fiction, Classic Literature, Drama, Vonnegut, kurt, 1922-2007, American literature, history and criticism, Destruction and pillage, World War (1939-1945) fast (OCoLC)fst01180924, Roman américain, Literature, American literature, Literatură americană, Roman, Time travel, Voyages dans le temps, Romans, nouvelles, Science fiction, Prisoners of war, Children and war, Historical fiction, Ficción, Guerra Mundial 11, 1939-1945, American Fantasy fiction, American Science fiction, American Spy stories",Billy Pilgrim,"Dresden, Germany",1939-1945,"heb, fre, ger, rum, bel, swe, spa, nob, por, ita, rus, ukr, eng",A Delta book,202.0,Peter Smith Pub Inc,,252,4.182539682539683
The Man in the Brown Suit,Agatha Christie,1924.0,200,"Fiction, Mystery, English literature, Fiction, mystery & detective, general, French fiction, English Detective and mystery stories, London (england), fiction, Fiction, mystery & detective, traditional, Fiction, mystery & detective, international crime & mystery, Fiction, mystery & detective, amateur sleuth, Fiction, mystery & detective, women sleuths, South Africa -- Fiction, Detective and mystery stories, London (England) -- Fiction, Murder -- Investigation -- Fiction, Women adventurers, Fiction, thrillers, general, Race, colonel johnny (fictitious character), fiction, Fiction, general","Anne Beddingfeld, Colonel John Race",London,,"eng, dut, ger, chi, ita, spa, gre, fre, por, pol, heb",Sifre mistorin,224.0,"Cosimo, Inc.",New York,15,4.0
Le fantôme de l'opéra,Gaston Leroux,1911.0,131,"Fiction, Opera, Composers, Phantom of the Opera (Fictitious character), Readers, English language, Horror stories, Chinese language, Chinese, Reading comprehension, Foreign speakers, Textbooks for foreign speakers, Study and teaching, Translations into English, Opera de Paris, French fiction, Romance fiction, Psychological fiction, Horror tales, Fiction, thrillers, Children's fiction, Paris (france), fiction, France, fiction, Phantom of the opera (fictitious character), fiction, Composers, fiction, Fiction, gothic, Fiction, horror, Readers for new literates, Musical fiction, Musicals, Adaptations, Juvenile fiction, Singers, History",,"Paris (France), France, Paris",20th century,"eng, ger, chi, ita, spa, fre, tur, por, jpn",Penguin Popular Classics,276.0,Bobbs-Merrill,New York,35,3.857142857142857
Charlotte's Web,E. B. White,1952.0,149,"Farm life, Animals, Juvenile fiction, Domestic animals, Fantasy, Spiders, Fiction, Friendship, Swine, juvenile works, Massachusetts Children's Book Award winner, Readers, Pets, Open Library Staff Picks, Latin language materials, Pigs, Folklore, Spanish language materials, American farm life, Ficción juvenil, Cerdos, Arañas, Amistad, Animales domésticos, Vida agrícola, Children's stories, Korean language materials, Blind, Books and reading, English language, For National Curriculum Key Stage 2, English, English (ie as school subject), Spanish stories, Award winning books, Farms, Newbery Honor, Spiders, fiction, Children's fiction, Pigs, fiction, Friendship, fiction, Domestic animals, fiction, Farm life, fiction, Humorous stories, Chinese language materials, Stuart Little (Fictitious character), Trumpeter swan, Mice, Swans, Children's books, Stories, Materiales en español, Spanish language, Novela juvenil, French language materials, Fantasy fiction, Women, fiction, Pets, fiction, Animals, fiction, Love, fiction, Insects, fiction, Authors, juvenile literature, Authors, Domestic animals, juvenile literature, Porcs, Romans, nouvelles, etc. pour la jeunesse, Exploitations agricoles, Araignées, Tong hua, Newbery Medal, Children's stories, Italian, Newbery Honor book, crianÃ§a","Fern Arable, Wilbur, Charlotte A. Cavatica, Avery Arable, John Arable, Templeton, Homer Zuckerman","Zuckerman's Farm, Queensborough Bridge",,"dan, eng, lat, ger, dut, chi, ita, spa, rum, kor, fre, tur, por, vie, jpn, cmn, tha, wel",Puffin Modern Classics,184.0,Harper & Row,"New York, USA",405,4.034567901234568
